common_name,comment_percent,exclamation_percent,count,url
Northern Rough-winged Swallow,2.5290129362339133,1.6447368421052613,24041,https://www.allaboutbirds.org/guide/assets/og/75712331-1200px.jpg
Golden-crowned Kinglet,5.288280366788185,2.3752969121140124,23883,https://www.allaboutbirds.org/guide/assets/og/75361661-1200px.jpg
American Tree Sparrow,4.516129032258257,2.2200772200772256,22940,https://www.allaboutbirds.org/guide/assets/og/75257741-1200px.jpg
Eastern Wood-Pewee,3.474509440089113,1.6021361815754334,21557,https://www.allaboutbirds.org/guide/assets/og/75351541-1200px.jpg
Eastern Kingbird,4.269148040774365,1.9715224534501636,21386,https://www.allaboutbirds.org/guide/assets/og/75342041-1200px.jpg
Swamp Sparrow,3.933943909267714,1.6887816646562137,21073,https://www.allaboutbirds.org/guide/assets/og/75227281-1200px.jpg
Ruby-throated Hummingbird,12.515680787416382,2.5057825751734932,20726,https://www.allaboutbirds.org/guide/assets/og/635892363-1200px.jpg
Indigo Bunting,5.0040152579805515,1.9057171514543638,19924,https://www.allaboutbirds.org/guide/assets/og/75704791-1200px.jpg
Magnolia Warbler,2.891468132763092,1.4084507042253536,19644,https://www.allaboutbirds.org/guide/assets/og/75711001-1200px.jpg
Red-eyed Vireo,4.881015335801136,1.0834236186348873,18910,https://www.allaboutbirds.org/guide/assets/og/75369081-1200px.jpg
Great Egret,5.6142172984824805,1.644398766700923,17331,https://www.allaboutbirds.org/guide/assets/og/76803341-1200px.jpg
Spotted Sandpiper,3.8524019494081694,3.313253012048195,17236,https://www.allaboutbirds.org/guide/assets/og/75228411-1200px.jpg
American Kestrel,10.808425511885043,2.0685900925422014,16996,https://www.allaboutbirds.org/guide/assets/og/75242551-1200px.jpg
Nashville Warbler,2.9609770628537695,2.21327967806841,16785,https://www.allaboutbirds.org/guide/assets/og/75711711-1200px.jpg
Black-and-white Warbler,3.2724870901885863,1.834862385321107,16654,https://www.allaboutbirds.org/guide/assets/og/75259711-1200px.jpg
Black-crowned Night Heron,13.675989829277194,1.239486498450646,16518,https://www.allaboutbirds.org/guide/assets/og/75261421-1200px.jpg
Hermit Thrush,3.9408254599702404,3.1545741324921246,16088,https://www.allaboutbirds.org/guide/assets/og/75375121-1200px.jpg
Belted Kingfisher,6.701127234228105,1.4869888475836397,16057,https://www.allaboutbirds.org/guide/assets/og/75262241-1200px.jpg
Green Heron,5.2621616505771955,1.4388489208633142,15849,https://www.allaboutbirds.org/guide/assets/og/75362951-1200px.jpg
